Thu Feb 22 11:02:06 2024

An exhausting analysis of what the fuck Juce keycodes
mean and how they map to physical keys for binding.
Skip to Executive Summary below...

Key codes from 0-255
247 000000f7 0 #f7
248 000000f8 0 #f8
249 000000f9 0 #f9
250 000000fa 0 #fa
251 000000fb 0 #fb
252 000000fc 0 #fc
253 000000fd 0 #fd
254 000000fe 0 #fe
255 000000ff 0 #ff

----------------------------------------------------------------------

Responses from keyPressed

dec hex mods getTextCharacter() getTextDescription() GetKeyString()

A   65 x41 0 97 A A

  that's ASCII A modes 97 is weird though, getTextCharacter() may not do what I thought

Yeah, my conversion is broken
  ; nothing
  ' Right

Fn keys come in weird

65648 00010070 00000000 0 F1 F1
65649 00010071 00000000 0 F2 F2
65650 00010072 00000000 0 F3 F3
65651 00010073 00000000 0 F4 F4
65652 00010074 00000000 0 F5 F5
65653 00010075 00000000 0 F6 F6
65654 00010076 00000000 0 F7 F7
65655 00010077 00000000 0 F8 F8
65656 00010078 00000000 0 F9 F9
65657 00010079 00000000 0 F10 F10
65658 0001007a 00000000 0 F11 F11
65659 0001007b 00000000 0 F12 F12

note that F12 generate a break under VisualStudio

Arrow keys

65573 00010025 00000000 0 cursor left Left
65576 00010028 00000000 0 cursor down Down
65575 00010027 00000000 0 cursor right Right
65574 00010026 00000000 0 cursor up Up


Command keys

65582 0001002e 00000000 0 delete Delete
65571 00010023 00000000 0 end End
65570 00010022 00000000 0 page down Page Down
65581 0001002d 00000000 0 insert Insert
65572 00010024 00000000 0 home Home
65569 00010021 00000000 0 page up Page Up

PRTSC is intercepted by the OS
SCRLK does nothing
PAUSE generates
0 00000000 00000000 0

Don't have a number pad

So the keys with large codes all have bit 17 set for some reason

x70 for F1 is this without the bit
  112 00000070 0 P

So you can't just mask off the bottom two bytes and see them.

My key mapper has F1 as x70 which does match

Bottom line, throw away the old key mapper

But I still don't understand....

P is 80 00000050 00000000 112 P P
F1 is 65648 00010070 00000000 0 F1 F1
  which matches mind if you mask off 0x70

But when generating numeric key code of 0x70 without
bit 17 it shows
  112 00000070 0 P

where P is getTextDescription

So Juce thinks both 0101 0000 and 0111 0000 are are "P" 
 for getTextDescription

This is bad because I can't just store the bottom two bytes for F1
and have it convert to text F1 without bit 17, maybe this is unicode?

Yes, unicode x70 is "latin small p" in Unicode

https://unicodelookup.com/

Juce seems to be using Unicode for converting codes to text
but Unicode doesn't have F1

Yes juce_wchar is he same as wchar_t which is 32 bit
x21
Apple uses NSF1FunctionKey which is 0xF704

The Javascript key code for F1 is 112 decimal which is 0x70
Ugh, I'm not understanding.

The problem is, if I use Juce's key code for F1 00010070
I can't use that in a 1 byte jump table.  If I mask off just
the 0x70 I have something that can be recognized internally as F1
but to display it in the UI getTextDescription will show "P"
which seems wrong since Unicode x70 is lower case p

Similar for LeftArrow
  65573 00010025 00000000 0 cursor left Left

Masking off x25 would be seen as
  37 00000025 0 %

% is Shift-5

which when you press it is

  53 00000035 00000001 37 shift + 5 5

So what getTextDescription displays as % is not actually a key combination
you can press.

I'll need two jump tables, one for those withoout bit 17 set where 0x70
would never be seen, and another for the bit 17 characters which would be sparse

If I collapse those, can I make a rule

if code between x70 and x7b, add bit 17 to get F1 displayed
if code between x25 and x26, add bit 17 to get arrows
if code between x2e and x21, add bit 17 to get commands

need to check num pad

Can this simply be a jump table conversion?

In the Binding always store the full 3 byte Juce code,
Juce displays and parses that correctly.

When building the jump table mask off the bottom byte.

So without modifier keys 0x70 can only be generated by the F1 key
There are no keyboard keys that can generate code 122/x70 which
would display as upper P or lower p in Unicode and the p key
comes in as, fuck x50 I'm getting these mixed up

just look at the fucking numbers

Letter keys: x41 to x5a like ascii
Number keys: x30 to x39 like ascii
back quote/tilde x60
- x2d
= x3d
backspace x08
, x2c
. x2e
/ x2f
[ x5b
] x5d
\ x5c

left   x10025
down   x10028
right  x10027
up     x10026

  these do not conflict with the other 0x20 range

F1-F12  x10070 to x1007b

  no conflict with x70 range

delete x2e
end    x23
pgdn   x22
ins    x2d
home   x24
pgup   x21

conflicts!

x2e is . and delete
x2d is - and insert

---

number pad with num lock

Alienware keyboard

1 10061
2 10062
3 10063
4 10064
5 10065
6 10066

now it gets weird

7 generates two codes
  10067 numpad 7
  1007a F11

8 10068 numpad 8
  1007b F12

9 10069 numpad 9
  10022 page down

0 10060 numpad 0
.    2e

enter
  now THIS gets interesting
  did not get a KeyCode for this, nor do I for the main ENTER/RETURN
  instead I got a button click event on the Record button, either the OS
  or Juce are intercepting this and turning it into mouse clicks and Juce
  I guess picks the first button component, if I click Reset next to it
  enter now activates that

+ generates two codes
  2b +
  10023 end

- 2d
* 2a
/ 2f
  these are interesting

without Numlock

1 10023 end
2 10028 cursor down (arrow)
3 10022 page down
4 10025 cursor left
5 00000 KeyPress event with all zeros and no text display
6 10027 cursor right

now we're back to double keys
7 10024 home and 1007b F11
8 10026 cursor up and 1007b F12
9 10021 page up AND 10022 page down

This could be a bug in Juce, but it makes the number pad practically useless
because of the double keys

It's unreliable anyway because of the NumLock which isn't obvious

If you want to support NumLock would have to suppress the
phantom F11, F12, and page down for 7,8,9
note that numpad . is 2e which is the same as the normal .

- x2d is the same as regular - and conflicts with 1002d insert
+ x2b is a unique code since standard + is shift equal
      but it double sends 10012 end

* x2a is unique and does not double send
/ x2f is the same as the main key

Without Numlock

the usual cursor keys work, but the send the same codes as
the other arrows so you can't bind them differently

So...ignoring the number pad which is a mess

Executive Summary

The basic problem is, Juce doesn't pass raw scan codes, it interprets
them and apparently has bugs in some of them so this limits what is reliable
which isn't so bad.

Letters and numbers (not number pad) are okay
F1-F12 are okay if you mask off x10000

punctuation keys work but conflict with command keys if you mask off x10000
we can just not recommend command keys, some may work, others won't

backspace, tab, esc work
  these are the only odd keys that might be useful

Stay the ever loving fuck away from the number pad, and the command keys.
Some will work sometimes, but they double key events and are unreliable.

For bindings and the binding UI the rules are:

  Store the full Juce key code in Bindings to get 0x10000 for Function keys
  and others, and to allow getTextDescription to display properly.

  For the action mapping table, can mask off the bottom byte without
  conflicts except for the DEL and INS command keys which you don't
  want to use anyway.





